parameter_set_id,ab_role,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,candidate_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,neighbor_count,neighbor_15s_median_of_medians_bps,neighbor_30s_median_of_medians_bps
FP1-EXP0004-C-330-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU1-FL185000,ROBUST_2,500,1,185000,4,2,-8438,2,-8072,4,-8438,-8072
FP1-EXP0004-C-331-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU2-FL0,ROBUST_2,500,2,0,48,29,150,23,63,5,150,63
FP1-EXP0004-C-332-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU2-FL6000,ROBUST_2,500,2,6000,46,28,84,22,63,6,150,63
FP1-EXP0004-C-333-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU2-FL30000,ROBUST_2,500,2,30000,38,23,120,19,22,6,120,42
FP1-EXP0004-C-334-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU2-FL93000,ROBUST_2,500,2,93000,18,12,636,10,477,6,636,477
FP1-EXP0004-C-335-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU2-FL185000,ROBUST_2,500,2,185000,4,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-336-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU3-FL0,ROBUST_2,500,3,0,34,20,256,16,256,5,190,256
FP1-EXP0004-C-337-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU3-FL6000,ROBUST_2,500,3,6000,32,20,256,16,256,6,155,256
FP1-EXP0004-C-338-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU3-FL30000,ROBUST_2,500,3,30000,31,19,120,16,256,6,120,366
FP1-EXP0004-C-339-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU3-FL93000,ROBUST_2,500,3,93000,17,12,636,10,477,6,636,477
FP1-EXP0004-C-340-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU3-FL185000,ROBUST_2,500,3,185000,4,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-341-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU4-FL0,ROBUST_2,500,4,0,28,15,120,12,620,5,120,620
FP1-EXP0004-C-342-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU4-FL6000,ROBUST_2,500,4,6000,26,15,120,12,620,6,120,620
FP1-EXP0004-C-343-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU4-FL30000,ROBUST_2,500,4,30000,25,14,78,12,620,6,99,620
FP1-EXP0004-C-344-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU4-FL93000,ROBUST_2,500,4,93000,13,7,790,6,929,6,443,548
FP1-EXP0004-C-345-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU4-FL185000,ROBUST_2,500,4,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-346-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU8-FL0,ROBUST_2,500,8,0,10,8,-133,6,-338,4,-133,-338
FP1-EXP0004-C-347-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU8-FL6000,ROBUST_2,500,8,6000,10,8,-133,6,-338,5,-133,-338
FP1-EXP0004-C-348-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU8-FL30000,ROBUST_2,500,8,30000,9,8,-133,6,-338,5,-133,-338
FP1-EXP0004-C-349-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU8-FL93000,ROBUST_2,500,8,93000,7,6,250,5,-327,5,250,-327
FP1-EXP0004-C-350-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU8-FL185000,ROBUST_2,500,8,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-351-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU1-FL0,ROBUST_2,800,1,0,49,28,84,21,166,4,117,105
FP1-EXP0004-C-352-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU1-FL6000,ROBUST_2,800,1,6000,47,26,84,19,166,5,84,166
FP1-EXP0004-C-353-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU1-FL30000,ROBUST_2,800,1,30000,39,24,84,19,22,5,120,166
FP1-EXP0004-C-354-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU1-FL93000,ROBUST_2,800,1,93000,18,12,636,10,477,5,546,79
FP1-EXP0004-C-355-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU1-FL185000,ROBUST_2,800,1,185000,4,2,-8438,2,-8072,4,-8438,-8072
FP1-EXP0004-C-356-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU2-FL0,ROBUST_2,800,2,0,45,26,150,19,166,5,150,166
FP1-EXP0004-C-357-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU2-FL6000,ROBUST_2,800,2,6000,43,25,150,18,166,6,135,166
FP1-EXP0004-C-358-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU2-FL30000,ROBUST_2,800,2,30000,37,23,120,18,22,6,135,211
FP1-EXP0004-C-359-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU2-FL93000,ROBUST_2,800,2,93000,18,12,636,10,477,6,591,278
FP1-EXP0004-C-360-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU2-FL185000,ROBUST_2,800,2,185000,4,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-361-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU3-FL0,ROBUST_2,800,3,0,34,20,190,17,256,5,190,256
FP1-EXP0004-C-362-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU3-FL6000,ROBUST_2,800,3,6000,32,20,190,17,256,6,170,256
FP1-EXP0004-C-363-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU3-FL30000,ROBUST_2,800,3,30000,31,19,120,16,256,6,155,366
FP1-EXP0004-C-364-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU3-FL93000,ROBUST_2,800,3,93000,17,12,636,10,477,6,591,366
FP1-EXP0004-C-365-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU3-FL185000,ROBUST_2,800,3,185000,4,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-366-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU4-FL0,ROBUST_2,800,4,0,27,14,120,12,620,5,120,620
FP1-EXP0004-C-367-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU4-FL6000,ROBUST_2,800,4,6000,25,14,120,12,620,6,120,620
FP1-EXP0004-C-368-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU4-FL30000,ROBUST_2,800,4,30000,25,14,78,12,620,6,120,620
FP1-EXP0004-C-369-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU4-FL93000,ROBUST_2,800,4,93000,13,7,790,6,929,6,398,278
FP1-EXP0004-C-370-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU4-FL185000,ROBUST_2,800,4,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-371-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU8-FL0,ROBUST_2,800,8,0,10,8,-133,6,-338,4,-6,141
FP1-EXP0004-C-372-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU8-FL6000,ROBUST_2,800,8,6000,10,8,-133,6,-338,5,-133,-338
FP1-EXP0004-C-373-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU8-FL30000,ROBUST_2,800,8,30000,9,8,-133,6,-338,5,78,-327
FP1-EXP0004-C-374-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU8-FL93000,ROBUST_2,800,8,93000,7,6,250,5,-327,5,250,-327
FP1-EXP0004-C-375-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU8-FL185000,ROBUST_2,800,8,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-376-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU1-FL0,ROBUST_2,2300,1,0,31,15,546,14,44,4,359,556
FP1-EXP0004-C-377-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU1-FL6000,ROBUST_2,2300,1,6000,28,12,546,11,587,5,483,526
FP1-EXP0004-C-378-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU1-FL30000,ROBUST_2,2300,1,30000,24,12,483,10,587,5,546,79
FP1-EXP0004-C-379-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU1-FL93000,ROBUST_2,2300,1,93000,16,10,546,8,79,5,483,79
FP1-EXP0004-C-380-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU1-FL185000,ROBUST_2,2300,1,185000,4,2,-8438,2,-8072,4,-8438,-8072
FP1-EXP0004-C-381-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL0,ROBUST_2,2300,2,0,26,12,645,10,587,5,546,166
FP1-EXP0004-C-382-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000,ROBUST_2,2300,2,6000,23,10,645,8,826,6,546,587
FP1-EXP0004-C-383-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL30000,ROBUST_2,2300,2,30000,21,10,546,8,587,6,514,526
FP1-EXP0004-C-384-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL93000,ROBUST_2,2300,2,93000,16,10,546,8,79,6,546,79
FP1-EXP0004-C-385-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL185000,ROBUST_2,2300,2,185000,4,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-386-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU3-FL0,ROBUST_2,2300,3,0,21,11,546,9,526,5,483,526
FP1-EXP0004-C-387-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU3-FL6000,ROBUST_2,2300,3,6000,18,10,546,8,526,6,514,526
FP1-EXP0004-C-388-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU3-FL30000,ROBUST_2,2300,3,30000,18,10,546,8,526,6,514,526
FP1-EXP0004-C-389-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU3-FL93000,ROBUST_2,2300,3,93000,15,10,546,8,79,6,546,79
FP1-EXP0004-C-390-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU3-FL185000,ROBUST_2,2300,3,185000,4,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-391-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU4-FL0,ROBUST_2,2300,4,0,17,8,483,7,826,5,250,620
FP1-EXP0004-C-392-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU4-FL6000,ROBUST_2,2300,4,6000,16,8,483,7,826,6,366,723
FP1-EXP0004-C-393-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU4-FL30000,ROBUST_2,2300,4,30000,16,8,483,7,826,6,366,573
FP1-EXP0004-C-394-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU4-FL93000,ROBUST_2,2300,4,93000,13,7,546,6,79,6,366,26
FP1-EXP0004-C-395-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU4-FL185000,ROBUST_2,2300,4,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-396-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU8-FL0,ROBUST_2,2300,8,0,8,6,250,5,826,4,58,244
FP1-EXP0004-C-397-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU8-FL6000,ROBUST_2,2300,8,6000,8,6,250,5,826,5,250,826
FP1-EXP0004-C-398-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU8-FL30000,ROBUST_2,2300,8,30000,7,6,250,5,826,5,250,-327
FP1-EXP0004-C-399-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU8-FL93000,ROBUST_2,2300,8,93000,7,6,250,5,-327,5,250,-327
FP1-EXP0004-C-400-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU8-FL185000,ROBUST_2,2300,8,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-401-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU1-FL0,ROBUST_2,7300,1,0,13,7,173,7,526,4,359,285
FP1-EXP0004-C-402-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU1-FL6000,ROBUST_2,7300,1,6000,13,7,173,7,526,5,173,587
FP1-EXP0004-C-403-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU1-FL30000,ROBUST_2,7300,1,30000,10,6,22,6,-27,5,173,526
FP1-EXP0004-C-404-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU1-FL93000,ROBUST_2,7300,1,93000,6,4,173,3,-27,5,173,-27
FP1-EXP0004-C-405-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU1-FL185000,ROBUST_2,7300,1,185000,2,2,-8438,2,-8072,4,-8438,-8072
FP1-EXP0004-C-406-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU2-FL0,ROBUST_2,7300,2,0,11,6,22,6,-27,5,173,587
FP1-EXP0004-C-407-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU2-FL6000,ROBUST_2,7300,2,6000,10,5,173,5,1213,6,173,526
FP1-EXP0004-C-408-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU2-FL30000,ROBUST_2,7300,2,30000,8,5,120,5,526,6,146,526
FP1-EXP0004-C-409-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU2-FL93000,ROBUST_2,7300,2,93000,6,4,173,3,-27,6,173,26
FP1-EXP0004-C-410-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU2-FL185000,ROBUST_2,7300,2,185000,2,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-411-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU3-FL0,ROBUST_2,7300,3,0,10,5,173,5,526,5,173,526
FP1-EXP0004-C-412-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU3-FL6000,ROBUST_2,7300,3,6000,8,5,173,5,526,6,173,526
FP1-EXP0004-C-413-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU3-FL30000,ROBUST_2,7300,3,30000,8,5,120,5,526,6,146,526
FP1-EXP0004-C-414-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU3-FL93000,ROBUST_2,7300,3,93000,6,4,173,3,-27,6,173,26
FP1-EXP0004-C-415-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU3-FL185000,ROBUST_2,7300,3,185000,2,2,-8438,2,-8072,5,-4503,-4347
FP1-EXP0004-C-416-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU4-FL0,ROBUST_2,7300,4,0,8,4,120,3,-27,5,120,-27
FP1-EXP0004-C-417-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU4-FL6000,ROBUST_2,7300,4,6000,7,4,120,3,-27,6,120,-27
FP1-EXP0004-C-418-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU4-FL30000,ROBUST_2,7300,4,30000,7,4,120,3,-27,6,120,-27
FP1-EXP0004-C-419-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU4-FL93000,ROBUST_2,7300,4,93000,5,2,173,1,-27,6,120,-27
FP1-EXP0004-C-420-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU4-FL185000,ROBUST_2,7300,4,185000,1,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-421-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU8-FL0,ROBUST_2,7300,8,0,4,2,-569,1,-622,4,120,-27
FP1-EXP0004-C-422-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU8-FL6000,ROBUST_2,7300,8,6000,4,2,-569,1,-622,5,-224,-324
FP1-EXP0004-C-423-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU8-FL30000,ROBUST_2,7300,8,30000,3,2,-569,1,-622,5,-224,-324
FP1-EXP0004-C-424-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU8-FL93000,ROBUST_2,7300,8,93000,3,2,-569,1,-622,5,-198,-474
FP1-EXP0004-C-425-ROBUST_2-R2000-T3-U5-PD2500-6500-RB7300-BU8-FL185000,ROBUST_2,7300,8,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-426-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU1-FL0,ROBUST_2,20700,1,0,5,3,923,3,1836,3,645,1213
FP1-EXP0004-C-427-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU1-FL6000,ROBUST_2,20700,1,6000,5,3,645,3,1535,4,409,1086
FP1-EXP0004-C-428-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU1-FL30000,ROBUST_2,20700,1,30000,5,3,120,3,960,4,378,526
FP1-EXP0004-C-429-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU1-FL93000,ROBUST_2,20700,1,93000,1,1,636,1,526,4,173,526
FP1-EXP0004-C-430-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU1-FL185000,ROBUST_2,20700,1,185000,0,0,,0,,3,-3901,-3773
FP1-EXP0004-C-431-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU2-FL0,ROBUST_2,20700,2,0,4,3,645,3,1213,4,511,869
FP1-EXP0004-C-432-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU2-FL6000,ROBUST_2,20700,2,6000,3,2,645,2,1213,5,377,1213
FP1-EXP0004-C-433-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU2-FL30000,ROBUST_2,20700,2,30000,3,2,120,2,526,5,120,526
FP1-EXP0004-C-434-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU2-FL93000,ROBUST_2,20700,2,93000,1,1,636,1,526,5,404,526
FP1-EXP0004-C-435-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU2-FL185000,ROBUST_2,20700,2,185000,0,0,,0,,4,-3901,-3773
FP1-EXP0004-C-436-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU3-FL0,ROBUST_2,20700,3,0,4,2,377,2,526,4,275,526
FP1-EXP0004-C-437-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU3-FL6000,ROBUST_2,20700,3,6000,3,2,377,2,526,5,173,526
FP1-EXP0004-C-438-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU3-FL30000,ROBUST_2,20700,3,30000,3,2,120,2,526,5,120,526
FP1-EXP0004-C-439-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU3-FL93000,ROBUST_2,20700,3,93000,1,1,636,1,526,5,173,526
FP1-EXP0004-C-440-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU3-FL185000,ROBUST_2,20700,3,185000,0,0,,0,,4,-3901,-3773
FP1-EXP0004-C-441-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU4-FL0,ROBUST_2,20700,4,0,4,2,-220,2,-321,4,120,-27
FP1-EXP0004-C-442-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU4-FL6000,ROBUST_2,20700,4,6000,3,2,-220,2,-321,5,-50,-174
FP1-EXP0004-C-443-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU4-FL30000,ROBUST_2,20700,4,30000,3,2,-220,2,-321,5,120,-27
FP1-EXP0004-C-444-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU4-FL93000,ROBUST_2,20700,4,93000,1,0,,0,,5,173,-27
FP1-EXP0004-C-445-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU4-FL185000,ROBUST_2,20700,4,185000,0,0,,0,,4,-569,-622
FP1-EXP0004-C-446-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU8-FL0,ROBUST_2,20700,8,0,1,0,,0,,3,-394,-471
FP1-EXP0004-C-447-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU8-FL6000,ROBUST_2,20700,8,6000,1,0,,0,,4,-394,-471
FP1-EXP0004-C-448-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU8-FL30000,ROBUST_2,20700,8,30000,0,0,,0,,4,-394,-471
FP1-EXP0004-C-449-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU8-FL93000,ROBUST_2,20700,8,93000,0,0,,0,,4,-569,-622
FP1-EXP0004-C-450-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU8-FL185000,ROBUST_2,20700,8,185000,0,0,,0,,3,-569,-622
FP1-EXP0004-C-451-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU1-FL0,ROBUST_3,200,1,0,52,29,154,19,529,3,150,748
FP1-EXP0004-C-452-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU1-FL6000,ROBUST_3,200,1,6000,45,25,150,17,748,4,116,638
FP1-EXP0004-C-453-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU1-FL30000,ROBUST_3,200,1,30000,30,15,78,13,517,4,114,517
FP1-EXP0004-C-454-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU1-FL93000,ROBUST_3,200,1,93000,16,10,305,9,477,4,191,477
FP1-EXP0004-C-455-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU1-FL185000,ROBUST_3,200,1,185000,5,2,-8438,2,-8072,3,-8438,-8072
FP1-EXP0004-C-456-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU2-FL0,ROBUST_3,200,2,0,43,23,247,17,748,4,196,638
FP1-EXP0004-C-457-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU2-FL6000,ROBUST_3,200,2,6000,39,21,238,15,748,5,150,748
FP1-EXP0004-C-458-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU2-FL30000,ROBUST_3,200,2,30000,29,14,78,12,517,5,78,517
FP1-EXP0004-C-459-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU2-FL93000,ROBUST_3,200,2,93000,16,10,305,9,477,5,305,477
FP1-EXP0004-C-460-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU2-FL185000,ROBUST_3,200,2,185000,5,2,-8438,2,-8072,4,-8438,-8072
FP1-EXP0004-C-461-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU3-FL0,ROBUST_3,200,3,0,30,18,238,13,526,4,251,573
FP1-EXP0004-C-462-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU3-FL6000,ROBUST_3,200,3,6000,28,17,256,13,526,5,238,526
FP1-EXP0004-C-463-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU3-FL30000,ROBUST_3,200,3,30000,23,13,78,12,256,5,78,517
FP1-EXP0004-C-464-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU3-FL93000,ROBUST_3,200,3,93000,15,10,305,9,477,5,305,477
FP1-EXP0004-C-465-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU3-FL185000,ROBUST_3,200,3,185000,5,2,-8438,2,-8072,4,-4503,-4347
FP1-EXP0004-C-466-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU4-FL0,ROBUST_3,200,4,0,25,12,-100,10,620,4,69,573
FP1-EXP0004-C-467-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU4-FL6000,ROBUST_3,200,4,6000,23,12,-100,10,620,5,-100,620
FP1-EXP0004-C-468-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU4-FL30000,ROBUST_3,200,4,30000,19,10,-100,9,620,5,78,620
FP1-EXP0004-C-469-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU4-FL93000,ROBUST_3,200,4,93000,10,5,681,5,1119,5,250,477
FP1-EXP0004-C-470-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU4-FL185000,ROBUST_3,200,4,185000,3,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-471-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU8-FL0,ROBUST_3,200,8,0,6,5,250,4,-338,3,250,-338
FP1-EXP0004-C-472-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU8-FL6000,ROBUST_3,200,8,6000,6,5,250,4,-338,4,250,-338
FP1-EXP0004-C-473-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU8-FL30000,ROBUST_3,200,8,30000,5,5,250,4,-338,4,250,-338
FP1-EXP0004-C-474-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU8-FL93000,ROBUST_3,200,8,93000,4,4,250,4,-338,4,250,-338
FP1-EXP0004-C-475-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU8-FL185000,ROBUST_3,200,8,185000,1,1,-569,1,-622,3,-569,-622
FP1-EXP0004-C-476-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU1-FL0,ROBUST_3,500,1,0,48,24,150,19,517,4,150,684
FP1-EXP0004-C-477-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU1-FL6000,ROBUST_3,500,1,6000,42,20,0,17,748,5,78,748
FP1-EXP0004-C-478-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU1-FL30000,ROBUST_3,500,1,30000,30,15,78,13,517,5,78,517
FP1-EXP0004-C-479-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU1-FL93000,ROBUST_3,500,1,93000,16,10,305,9,477,5,305,477
FP1-EXP0004-C-480-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU1-FL185000,ROBUST_3,500,1,185000,5,2,-8438,2,-8072,4,-8438,-8072
FP1-EXP0004-C-481-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU2-FL0,ROBUST_3,500,2,0,41,20,150,17,748,5,150,748
FP1-EXP0004-C-482-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU2-FL6000,ROBUST_3,500,2,6000,37,18,0,15,748,6,114,748
FP1-EXP0004-C-483-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU2-FL30000,ROBUST_3,500,2,30000,29,14,78,12,517,6,78,517
FP1-EXP0004-C-484-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU2-FL93000,ROBUST_3,500,2,93000,16,10,305,9,477,6,305,477
FP1-EXP0004-C-485-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU2-FL185000,ROBUST_3,500,2,185000,5,2,-8438,2,-8072,5,-8438,-8072
FP1-EXP0004-C-486-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU3-FL0,ROBUST_3,500,3,0,28,15,256,13,526,5,150,526
FP1-EXP0004-C-487-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU3-FL6000,ROBUST_3,500,3,6000,26,15,256,13,526,6,78,526
FP1-EXP0004-C-488-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU3-FL30000,ROBUST_3,500,3,30000,23,13,78,12,256,6,78,497
FP1-EXP0004-C-489-ROBUST_3-R5000-T3-U2-PD2500-6500-RB500-BU3-FL93000,ROBUST_3,500,3,93000,15,10,305,9,477,6,305,477
